id,gender,score
gbkd,female,5
snlc,male,8
YOh,male,6
FSSR,female,10
CWCM,female,13
tmlm,female,8
EH,male,6
ZMHL,male,13
aret,female,10
jtaa,male,9
LNAH,male,9
ajhf,male,15
adib,male,10
rae,female,12
GG99,male,11
BZBZ,female,12
717,female,5
FAUZ,female,8
1145,male,10
LHNB,male,11
sdll,female,10
fftc,female,14
HYZY,male,9
kbba,male,5
HWSY,female,6
FZFZ,male,6
ISAC,male,6
IQAH,female,12
MLAW,male,13
XHSB,male,9
baby,female,11
HZKM,female,12
ynbt,female,10
xxxx,female,12
MENG,male,7
Daus,male,14
PTTR,male,11
XOXO,male,13
CTCT,female,8
azmt,male,12
Syaf,male,12
ucbm,male,14
KWAN,male,13
HHMM,male,12
SOAS,female,8
RZWM,female,7
ZXCV,male,16
BBBB,male,18
RLLY,female,15
HBDJ,female,18
