id,gender,score
CLCM,Female,0
JYNK,Female,2
YNBT,Female,4
BZBZ,Female,4
717,Female,3
FAUZ,Female,2
GG99,Male,5
1145,Male,1
LHNB,Male,6
SDLL,Female,1
HYZY,Male,5
HWSY,Female,2
MLAW,Male,2
FZFZ,Male,0
XHSB,Male,3
BABY,Female,2
HZKM,Female,2
XXXX,Female,0
MENG,Male,4
DAUS,Male,1
PTTR,Male,3
XOXO,Male,2
CTCT,Female,3
AZMT,Male,1
UCBM,Male,3
HHMM,Male,3
KWAN,Male,3
KBBA,Male,1
SOAS,Female,1
RZWM,Female,5
ZCBT,Male,1
BBBB,Male,7
RLLY,Female,6
HBDJ,Female,7
LJOB,Female,3
MMMM,Female,1
